name,category,what,aesthetic,url
Claude,AI & LLM Platforms,Anthropic's AI assistant,"Warm terracotta accent, clean editorial layout",https://getdesign.md/claude/design-md
Cohere,AI & LLM Platforms,Enterprise AI platform,"Vibrant gradients, data-rich dashboard aesthetic",https://getdesign.md/cohere/design-md
ElevenLabs,AI & LLM Platforms,AI voice platform,"Dark cinematic UI, audio-waveform aesthetics",https://getdesign.md/elevenlabs/design-md
Minimax,AI & LLM Platforms,AI model provider,Bold dark interface with neon accents,https://getdesign.md/minimax/design-md
Mistral AI,AI & LLM Platforms,Open-weight LLM provider,"French-engineered minimalism, purple-toned",https://getdesign.md/mistral.ai/design-md
Ollama,AI & LLM Platforms,Run LLMs locally,"Terminal-first, monochrome simplicity",https://getdesign.md/ollama/design-md
OpenCode AI,AI & LLM Platforms,AI coding platform,Developer-centric dark theme,https://getdesign.md/opencode.ai/design-md
Replicate,AI & LLM Platforms,Run ML models via API,"Clean white canvas, code-forward",https://getdesign.md/replicate/design-md
RunwayML,AI & LLM Platforms,AI video generation,"Cinematic dark UI, media-rich layout",https://getdesign.md/runwayml/design-md
Together AI,AI & LLM Platforms,Open-source AI infrastructure,"Technical, blueprint-style design",https://getdesign.md/together.ai/design-md
VoltAgent,AI & LLM Platforms,AI agent framework,"Void-black canvas, emerald accent, terminal-native",https://getdesign.md/voltagent/design-md
xAI,AI & LLM Platforms,Elon Musk's AI lab,"Stark monochrome, futuristic minimalism",https://getdesign.md/x.ai/design-md
Cursor,Developer Tools & IDEs,AI-first code editor,"Sleek dark interface, gradient accents",https://getdesign.md/cursor/design-md
Expo,Developer Tools & IDEs,React Native platform,"Dark theme, tight letter-spacing, code-centric",https://getdesign.md/expo/design-md
Lovable,Developer Tools & IDEs,AI full-stack builder,"Playful gradients, friendly dev aesthetic",https://getdesign.md/lovable/design-md
Raycast,Developer Tools & IDEs,Productivity launcher,"Sleek dark chrome, vibrant gradient accents",https://getdesign.md/raycast/design-md
Superhuman,Developer Tools & IDEs,Fast email client,"Premium dark UI, keyboard-first, purple glow",https://getdesign.md/superhuman/design-md
Vercel,Developer Tools & IDEs,Frontend deployment platform,"Black and white precision, Geist font",https://getdesign.md/vercel/design-md
Warp,Developer Tools & IDEs,Modern terminal,"Dark IDE-like interface, block-based command UI",https://getdesign.md/warp/design-md
ClickHouse,"Backend, Database & DevOps",Fast analytics database,"Yellow-accented, technical documentation style",https://getdesign.md/clickhouse/design-md
Composio,"Backend, Database & DevOps",Tool integration platform,Modern dark with colorful integration icons,https://getdesign.md/composio/design-md
HashiCorp,"Backend, Database & DevOps",Infrastructure automation,"Enterprise-clean, black and white",https://getdesign.md/hashicorp/design-md
MongoDB,"Backend, Database & DevOps",Document database,"Green leaf branding, developer documentation focus",https://getdesign.md/mongodb/design-md
PostHog,"Backend, Database & DevOps",Product analytics,"Playful hedgehog branding, developer-friendly dark UI",https://getdesign.md/posthog/design-md
Sanity,"Backend, Database & DevOps",Headless CMS,"Red accent, content-first editorial layout",https://getdesign.md/sanity/design-md
Sentry,"Backend, Database & DevOps",Error monitoring,"Dark dashboard, data-dense, pink-purple accent",https://getdesign.md/sentry/design-md
Supabase,"Backend, Database & DevOps",Open-source Firebase alternative,"Dark emerald theme, code-first",https://getdesign.md/supabase/design-md
Cal.com,Productivity & SaaS,Open-source scheduling,"Clean neutral UI, developer-oriented simplicity",https://getdesign.md/cal/design-md
